en,de
It's obvious he's wrong.,"Es ist offensichtlich, dass er sich irrt."
It's popular with women.,Er ist bei Frauen beliebt.
It's pretty interesting.,Es ist ziemlich interessant.
It's progressing slowly.,Es geht nur schleppend voran.
It's really complicated.,Das ist sehr kompliziert.
It's really hot outside.,Draußen herrscht eine Bullenhitze.
It's really windy today.,Es ist echt windig heute.
It's something Tom made.,"Das ist etwas, was Tom gemacht hat."
It's still not too late.,Es ist noch nicht zu spät.
It's terribly important.,Es ist entsetzlich wichtig.
"It's the truth, I swear.",Das ist die Wahrheit. Ich schwör’s!
It's unfortunately true.,Unglücklicherweise stimmt es.
It's useless to deny it.,Es ist zwecklos zu leugnen.
It's very uncomfortable.,Es ist sehr unbequem.
It's wrong to tell lies.,Es ist nicht recht zu lügen.
It's you who's to blame.,Es ist Ihre Schuld.
It's your turn to drive.,Jetzt bist du dran mit Fahren.
It's your turn to speak.,Jetzt sind Sie an der Reihe zu reden.
Japan has to import oil.,Japan muss Öl importieren.
Jump as high as you can.,Spring so hoch du kannst.
Just look at those legs.,Schau dir nur diese Beine an.
Just look in the mirror.,Schau einfach mal in den Spiegel.
Just shut up and listen.,Sei still und hör zu!
Just smile and be happy.,Einfach lächeln und glücklich sein.
Keep an eye on the bags.,Behalten Sie Ihr Gepäck im Auge.
Keep an eye on the kids.,Behalte die Kinder im Auge!
Keep it in a cool place.,Bewahren Sie es an einem kühlen Ort auf!
Keep this window closed.,Dieses Fenster geschlossen halten!
"Leave Tom alone, please.",Lasst Tom bitte in Ruhe!
Leave me some ice cream.,Lass mir etwas Eis übrig!
Leave the driving to me.,Überlass das Fahren mir!
Leave the room as it is.,"Hinterlasse das Zimmer so, wie es ist."
Leave your weapons here.,Lasst Eure Waffen hier!
Let Tom send the letter.,Lass Tom den Brief absenden.
Let me have a try at it.,Lass es mich mal versuchen.
Let me say what I think.,"Lassen Sie mich sagen, was ich denke."
Let me show you the way.,Lassen Sie mich Ihnen den Weg zeigen.
Let's all pray together.,Lasst uns alle zusammen beten!
Let's discuss your idea.,Lass uns über deine Idee reden.
Let's end this nonsense.,Machen wir diesem Blödsinn ein Ende!
Let's forget about this.,Lass uns das hier vergessen!
Let's get a closer look.,Schauen wir uns das aus der Nähe an.
Let's get some pictures.,Lass uns ein paar Bilder machen.
Let's go out for a walk.,Lass uns spazieren gehen.
Let's go someplace warm.,"Lass uns irgendwo hingehen, wo es warm ist!"
Let's go to the seaside.,Lasst uns ans Meer fahren.
Let's make a sandcastle.,Bauen wir eine Sandburg!
Let's not do this again.,Lass uns das nicht noch einmal machen.
Let's order two bottles.,Lasst uns zwei Flaschen bestellen.
Let's rent a bike there.,Lass uns dort ein Fahrrad leihen.
Let's stay here tonight.,Lass uns heute Abend hier bleiben.
Let's suppose it's true.,"Nehmen wir an, es stimmt."
Let's wait for our turn.,"Warten wir, bis wir dran sind!"
Let's walk to the beach.,Lasst uns zu Fuß zum Strand gehen.
Life's what you make it.,"Das Leben ist, was Sie daraus machen."
Listen to what Tom says.,"Hör zu, was Tom sagt."
Look at that big hammer.,Schau dir diesen großen Hammer an.
Look on the bright side.,Sieh es positiv!
Looks aren't everything.,Aussehen ist nicht alles.
"Luckily, we have a plan.",Zum Glück haben wir einen Plan.
Make sure nobody enters.,"Sie zu, dass keiner hereinkommt."
Make sure you apologize.,"Denkt daran, euch zu entschuldigen!"
Making cheese is an art.,Die Käseherstellung ist eine Kunst.
Many promises were made.,Es gab viele Versprechungen.
Mary baked a small cake.,Maria buk einen kleinen Kuchen.
Mary decorated the cake.,Maria garnierte die Torte.
Mary has beautiful eyes.,Maria hat schöne Augen.
Mary has long eyelashes.,Maria hat lange Wimpern.
Mary ironed Tom's shirt.,Maria bügelte Toms Hemd.
Mary is a married woman.,Maria ist eine verheiratete Frau.
Mary is a retired nurse.,Maria ist eine Krankenschwester im Ruhestand.
Mary is a stubborn girl.,Maria ist ein starrköpfiges Mädchen.
Mary is a wealthy woman.,Maria ist eine reiche Frau.
Mary is my older sister.,Maria ist meine ältere Schwester.
Mary is the girl's name.,Das Mädchen heißt Maria.
Mary isn't unattractive.,Maria ist nicht unattraktiv.
Mary looked sensational.,Maria sah sensationell aus.
Mary wore a pink blouse.,Maria trug eine rosa Bluse.
Mary's parents hate Tom.,Marias Eltern hassen Tom.
May I borrow your knife?,Darf ich mir dein Messer ausleihen?
May I have a look at it?,Kann ich es mir ansehen?
May I have one of these?,Darf ich eines davon haben?
May I see your passport?,Kann ich Ihren Pass sehen?
May I take a look at it?,Darf ich einen Blick darauf werfen?
May I turn on the light?,Darf ich das Licht anschalten?
"May I use your car, Dad?","Vati, darf ich deinen Wagen benutzen?"
Maybe I should stop now.,Vielleicht sollte ich jetzt aufhören.
Maybe Tom is just lucky.,Vielleicht hat Tom einfach nur Glück.
Maybe he liked the idea.,Vielleicht gefiel ihm die Idee.
Maybe it's for the best.,Vielleicht ist es so das Beste.
Maybe that's the reason.,Vielleicht ist das der Grund.
Maybe we should go back.,Vielleicht sollten wir lieber zurückgehen.
"Measure twice, cut once!","Miss zweimal nach, bevor du schneidest!"
Money can't buy friends.,Mit Geld kann man keine Freunde kaufen.
Most boys know his name.,Die meisten Jungen kennen seinen Namen.
Most of the plants died.,Die meisten Pflanzen gingen ein.
My French is not so bad.,Mein Französisch ist nicht so schlecht.
My answer surprised Tom.,Meine Antwort überraschte Tom.
My bike has a flat tire.,Mein Fahrrad hat einen Platten.
My bike needs repairing.,Mein Fahrrad muss repariert werden.
My birthday is tomorrow.,Ich habe morgen Geburtstag.
My brother is a teacher.,Mein Bruder ist Lehrer.
My brother plays guitar.,Mein Bruder spielt Gitarre.
My cellphone is ringing.,Mein Natel läutet.
My daughter is a tomboy.,Meine Tochter ist ein Wildfang.
My dog's name is Cookie.,Mein Hund heißt Cookie.
My father is going bald.,Mein Vater bekommt eine Glatze.
My father isn't at home.,Mein Vater ist nicht daheim.
My father quit drinking.,Mein Vater hat aufgehört zu trinken.
My father went to China.,Mein Vater ging nach China.
My feet are always cold.,Ich habe immer kalte Füße.
My hairline is receding.,Mein Haaransatz weicht zurück.
My ladder is not broken.,Meine Leiter ist nicht kaputt.
My major is linguistics.,Ich studiere Sprachwissenschaft.
My mother gets up early.,Meine Mutter steht früh auf.
My mother made me study.,Meine Mutter hat mich zum Lernen gebracht.
My parents are divorced.,Meine Eltern sind geschieden.
My patience has run out.,Meine Geduld ist am Ende.
My right shoulder hurts.,Mir tut die rechte Schulter weh.
My signature was forged.,Meine Unterschrift wurde gefälscht.
My sister's car is pink.,Das Auto meiner Schwester ist pink.
My sister's car is pink.,Das Auto von meiner Schwester ist rosa.
My stomach is grumbling.,Mein Magen knurrt.
My television is broken.,Mein Fernseher ist kaputt.
My train's been delayed.,Mein Zug hat Verspätung.
My uncle gave me a book.,Mein Onkel gab mir ein Buch.
My wife just had a baby.,Meine Frau hat gerade ein Baby bekommen.
Neither of them like me.,Keiner von ihnen mag mich.
Never press this button.,Drücke niemals diesen Knopf.
Never speak to me again.,Sprechen Sie mich nie wieder an!
Next year will be worse.,Das nächste Jahr wird schlimmer.
No one ever believed me.,Mir hat nie jemand geglaubt.
No one is above the law.,Niemand steht über dem Gesetz.
No one is irreplaceable.,Niemand ist unersetzlich.
No one knows the answer.,Niemand kennt die Antwort.
No one knows the reason.,Niemand weiß den Grund.
No one knows we're here.,"Niemand weiß, dass wir hier sind."
No one owes me anything.,Niemand ist mir etwas schuldig.
No one voted against it.,Niemand stimmte dagegen.
No one will believe him.,Niemand wird ihm glauben.
No one will believe you.,Keiner wird dir glauben.
No questions were asked.,Es wurden keine Fragen gestellt.
Nobody cares about that.,Danach kräht kein Hahn.
Nobody is irreplaceable.,Niemand ist unersetzlich.
Nobody knows everything.,Niemand weiß alles.
Nobody knows my country.,Niemand kennt mein Land.
Nobody knows the answer.,Keiner kennt die Antwort.
Nobody knows what to do.,"Keiner weiß, was zu tun ist."
Nobody wants to do that.,Das will niemand tun.
Nobody's as fast as you.,Niemand ist so schnell wie du.
Nobody's looking for us.,Niemand sucht uns.
None of us speak French.,Keiner von uns kann Französisch.
Not everyone's like you.,Nicht jeder ist wie du.
Nothing makes Tom happy.,Nichts vermag Tom zu beglücken.
Now it gets complicated.,Jetzt wird es kompliziert.
Now's the time to begin.,Es ist jetzt an der Zeit anzufangen.
Of course I believe you.,Natürlich glaube ich euch.
"Of course, Tom is wrong.",Tom irrt sich natürlich.
"Oh, didn't I mention it?","Ach, habe ich das nicht erwähnt?"
Oil will float on water.,Öl schwimmt auf Wasser.
One witness was present.,Ein Zeuge war anwesend.
"Open the window, please.",Mach bitte das Fenster auf!
Other opinions do exist.,Auch andere Meinungen existieren.
Our door is always open.,Unsere Tür steht immer offen.
Our parents are friends.,Unsere Eltern sind Freunde.
Pack your things and go.,Pack deine Sachen und geh!
Pardon me for saying so.,"Sehen Sie es mir nach, dass ich so etwas sage."
Patriotism is overrated.,Der Patriotismus wird zu hoch gehalten.
Peel two of the bananas.,Schälen Sie zwei der Bananen.
People write to be read.,"Man schreibt, um gelesen zu werden."
Perhaps you should stop.,Vielleicht solltest du aufhören.
Please answer in French.,Antworte bitte auf Französisch!
Please ask someone else.,Bitte frag jemand anders.
Please ask someone else.,Fragt bitte jemand anderen.
Please bring the others.,Bringen Sie bitte die anderen her.
Please buy a few apples.,Bitte kaufen Sie ein paar Äpfel.
Please call me up later.,Bitte ruf mich später an.
Please come and help me.,Bitte komm und hilf mir.
Please delete this file.,Bitte löschen Sie diese Datei.
Please don't smoke here.,Hier bitte nicht rauchen!
Please fill in the form.,Füllen Sie bitte das Formular aus!
Please give me that one.,Bitte geben Sie mir das da.
Please give me this pen.,Gib mir bitte diesen Füller.
"Please have a seat, Tom.","Setz dich doch, Tom!"
Please keep me informed.,Bitte halte mich auf dem Laufenden.
Please keep that secret.,Behalte das bitte für dich!
Please keep this secret.,Bitte behalte das für dich.
Please leave right away.,Bitte geh' jetzt.
Please let go of my arm.,Bitte lassen Sie meinen Arm los.
Please open the package.,Öffnen Sie bitte das Paket!
Please pass me the salt.,Bitte geben Sie mir das Salz.
Please pass the ketchup.,Gib mir mal das Ketchup!
Please pick it up today.,Bitte holen Sie es heute ab.
Please say it once more.,Sagen Sie es bitte noch einmal.
Please show this to Tom.,"Bitte, zeig das Tom."
Please take another one.,Nimm bitte noch eins!
Please tell him to wait.,"Sagen Sie ihm bitte, dass er warten soll."
Please try to stay calm.,Versuchen Sie bitte ruhig zu bleiben!
Please turn off the gas.,Drehen Sie bitte das Gas ab!
Please wait here for me.,Warte bitte hier auf mich!
Potatoes are vegetables.,Kartoffeln sind ein Gemüse.
Prices dropped recently.,Die Preise sind unlängst gefallen.
Problems soon developed.,Es entwickelten sich bald schon Probleme.
Progress is unavoidable.,Fortschritt ist unausweichlich.
Promise me you won't go.,"Versprecht mir, dass ihr nicht geht!"
Put it back on the desk.,Lege es zurück auf den Schreibtisch.
Put the garbage outside.,Bringt den Müll raus.
Quit acting like a baby.,"Hören Sie auf, sich wie ein Kind aufzuführen!"
Read these instructions.,Lest diese Anweisungen.
Rules apply to everyone.,Regeln gelten für alle.
Say hello to Tom for me.,Grüße Tom von mir!
Say what's on your mind.,"Sagt, was ihr denkt."
School starts April 8th.,Die Schule beginnt am 8. April.
School starts next week.,Nächste Woche ist Schulanfang.
See you in three months.,Wir sehen uns in drei Monaten.
Shall I get you a chair?,Soll ich dir einen Stuhl holen?
She aimed at the target.,Sie hat das Ziel anvisiert.
She always smiles at me.,Sie lächelt mir immer zu.
She and I usually agree.,Sie und ich sind normalerweise einer Meinung.
She asked me a question.,Sie stellte mir eine Frage.
She bought a dozen eggs.,Sie kaufte ein Dutzend Eier.
She bought him a ticket.,Sie hat ihm eine Fahrkarte gekauft.
She came home very late.,Sie ist sehr spät nach Hause gekommen.
She can't find her keys.,Sie kann ihre Schlüssel nicht finden.
She cried her heart out.,Sie weinte sich die Augen aus dem Kopf.
She didn't need to come.,Sie brauchte nicht zu kommen.
She doesn't like anyone.,Sie mag niemanden.
She doesn't like soccer.,Sie hält nicht viel von Fußball.
She drank the beer down.,Sie trank das Bier aus.
She forced him to do it.,"Sie zwang ihn, es zu tun."
She gave a ready answer.,Sie antwortete ohne zu zögern.
She gave him some money.,Sie hat ihm Geld gegeben.
She gave us lots to eat.,Sie gab uns viel zu essen.
She had a perfect alibi.,Sie hatte ein perfektes Alibi.
She hardly ate anything.,Sie hat kaum etwas gegessen.
She has gone to America.,Sie ist nach Amerika gegangen.
She has to stop smoking.,Sie muss mit dem Rauchen aufhören.
She hates green peppers.,Sie hasst grüne Paprikas.
She is a charming woman.,Sie ist eine charmante Frau.
She is a stranger to me.,Sie ist mir fremd.
She is an educated girl.,Sie ist ein gebildetes Mädchen.
She is blackmailing him.,Sie erpresst ihn.
She is having lunch now.,Sie isst gerade zu Mittag.
She is in love with him.,Sie ist in ihn verliebt.
She is not always happy.,Sie ist nicht immer glücklich.
She is shy of strangers.,Sie ist Fremden gegenüber schüchtern.
She isn't alone anymore.,Sie ist nicht mehr allein.
She knows many proverbs.,Sie kennt viele Sprichwörter.
She led a solitary life.,Sie führte ein einsames Leben.
She liked him right off.,Sie gewann ihn gleich lieb.
She likes to walk alone.,Sie geht gern allein spazieren.
She made a bet with him.,Sie hat mit ihm gewettet.
She may spill the beans.,Sie könnte es ausplaudern.
She must be forty or so.,Sie muss um die Vierzig sein.
She needs to sleep more.,Sie braucht mehr Schlaf.
She picked up the phone.,Sie nahm den Hörer ab.
She really looks pretty.,Sie sieht wirklich hübsch aus.
She sat on a hard chair.,Sie saß auf einem harten Stuhl.
She seems to be excited.,Sie scheint aufgeregt zu sein.
She speaks good English.,Sie spricht gut Englisch.
She studies mathematics.,Sie studiert Mathematik.
She took care of my dog.,Sie passte auf meinen Hund auf.
She turned on the light.,Sie schaltete das Licht an.
She usually wears jeans.,Sie trägt normalerweise Jeans.
She was aching all over.,Ihr tat alles weh.
She was falsely accused.,Sie wurde fälschlicherweise beschuldigt.
She was only half alive.,Sie war nur halb am Leben.
She witnessed the crime.,Sie war Zeugin des Verbrechens.
She wouldn't harm a fly.,Sie würde keiner Fliege etwas zuleide tun.
She'll make a good wife.,Sie wird eine gute Ehefrau werden.
She's heating the water.,Sie erhitzt das Wasser.
She's not a good person.,Sie ist keine gute Person.
"She's not young, is she?","Sie ist nicht jung, oder?"
She's unfit for the job.,Sie eignet sich nicht für die Arbeit.
She's unfit for the job.,Sie eignet sich für die Stelle nicht.
Should I fill it in now?,Soll ich das jetzt ausfüllen?
Show Tom how to do that.,"Zeig Tom mal, wie das geht!"
Show Tom how to do this.,"Zeig Tom, wie man das macht."
Show me what you can do.,"Zeig mir, was du kannst!"
Show me what you've got.,"Zeigt mir, was ihr habt!"
Show me your right hand.,Zeig mir deine rechte Hand.
Silence implies consent.,Schweigen bedeutet Zustimmung.
"So, how did you like it?",Und wie hat es dir gefallen?
Some people like danger.,Manche Leute mögen die Gefahr.
Somebody could get hurt.,Jemand könnte zu Schaden kommen.
Somebody missed the dog.,Jemand hat den Hund vermisst.
Someone is watching Tom.,Jemand beobachtet Tom.
Someone is watching you.,Jemand beobachtet euch.
Someone stole my jacket.,Jemand hat mir die Jacke gestohlen.
Sometimes I get jealous.,Manchmal werde ich eifersüchtig.
Sorry for being so late.,"Tut mir so leid, dass ich mich so verspätet habe."
"Sorry, what's your name?","Entschuldigung, wie ist dein Name?"
Spiders have eight legs.,Spinnen haben acht Beine.
Stay a while and listen.,Bleib ein Weilchen und hör zu!
Stay away from the fire.,Halte dich vom Feuer fern.
Steel traps are illegal.,Stahlfallen sind illegal.
Stop being so emotional.,"Hör auf, so emotional zu sein!"
Stop hemming and hawing.,Hör auf rumzudrucksen!
Stop talking about that.,Sprich nicht mehr davon!
Stop torturing yourself.,"Hör auf, dich zu quälen."
Study English every day.,Lernen Sie jeden Tag Englisch!
Sunlight can heat water.,Sonnenlicht kann Wasser aufheizen.
Take Tom to the station.,Bringe Tom zum Bahnhof!
Take a look at this map.,Wirf einen Blick auf diese Landkarte.
Take some warm clothing.,Nehmt warme Kleidung mit!
Take the money with you.,Nimm das Geld mit!
Take whichever you want.,"Nimm, welche du willst."
Tell Tom he owes me one.,"Sag Tom, dass er mir noch etwas schuldet."
Tell me a bedtime story.,Erzähl mir eine Gutenachtgeschichte!
Tell me about your ship.,Erzählen Sie mir von Ihrem Schiff!
Tell me about your wife.,Erzähle mir etwas von deiner Frau.
Tell me more about this.,Erzählen Sie mir mehr darüber.
Tell me what to do here.,"Sage mir, was ich hier tun soll!"
Tell me what's going on.,"Verraten Sie mir, was los ist."
Tell them I don't drink.,"Sag ihnen, dass ich nicht trinke."
Tell them what happened.,"Erzählt ihnen, was sich ereignet hat."
Tell us what that means.,"Sagt uns, was das bedeutet!"
Texas borders on Mexico.,Texas grenzt an Mexiko.
Thank you for asking me.,"Danke, dass ihr fragt!"
Thank you for coming by.,"Danke, dass du vorbeigekommen bist."
Thank you for listening.,Danke fürs Zuhören.
Thank you for seeing me.,"Danke, dass du gekommen bist, mich zu sehen."
Thank you for yesterday.,Danke für gestern.
Thank you for your help.,Danke für Ihre Hilfe.
"Thanks for nothing, Tom.","Danke für nichts, Tom!"
Thanks for the feedback.,Danke für die Rückmeldung!
Thanks for your support.,Danke für deine Unterstützung!
Thanks. I appreciate it.,Danke! Ich weiß das zu schätzen!
That book is a new book.,Dieses Buch ist ein neues Buch.
That boy is his brother.,Dieser Junge ist sein Bruder.
That boy looks like you.,Dieser Junge sieht aus wie du.
That boy showed no fear.,Dieser Junge zeigte keine Angst.
That can be done better.,Das kann man besser machen.
That changes everything.,Das ändert alles.
That could be a problem.,Es könnte ein Problem sein.
That could've been done.,Das hätte man tun können.
That doesn't concern me.,Das betrifft mich nicht.
That doesn't make sense.,Das ergibt keinen Sinn.
That dog runs very fast.,Dieser Hund rennt sehr schnell.
That happens a lot here.,Das passiert hier oft.
That intrigued everyone.,Das weckte das Interesse aller.
That isn't a dictionary.,Das ist kein Wörterbuch.
That isn't exactly true.,Das ist nicht ganz wahr.
That isn't how I see it.,So sehe ich das nicht.
That isn't my signature.,Das ist nicht meine Unterschrift.
That isn't so important.,Das ist nicht so wichtig.
That isn't to my liking.,Das sagt mir nicht zu.
That isn't what I think.,"Das ist nicht, was ich denke."
That kid looks like Tom.,Das Kind da sieht wie Tom aus.
That method didn't work.,Diese Methode hat nicht funktioniert.
That noise distracts me.,Der Lärm lenkt mich ab.
That one isn't for sale.,Die ist unverkäuflich.
That remains to be seen.,Das werden wir noch sehen.
That should about do it.,Das sollte wohl genügen.
That smells really good.,Das riecht aber gut!
That sounds fishy to me.,Ich trau dem Braten nicht.
That sounds pretty good.,Das klingt recht gut.
That was a big surprise.,Das war eine große Überraschung.
That was just brilliant.,Das war einfach genial.
That was never an issue.,Das war nie ein Problem.
That was three days ago.,Das war vor drei Tagen.
That was very difficult.,Das war sehr schwierig.
That woman has two bags.,Diese Frau hat zwei Taschen.
That would be a mistake.,Das wäre ein Fehler.
That would be confusing.,Das wäre verwirrend.
That would be fantastic.,Das wäre phantastisch!
That would've been nice.,Das wäre schön gewesen.
That's a bad day for me.,Das ist ein schlechter Tag für mich.
That's a big difference.,Das ist ein großer Unterschied.
That's a pretty picture.,Das ist ein hübsches Bild.
That's a valid question.,Das ist eine berechtigte Frage.
That's a very good idea.,Das ist eine sehr gute Idee.
That's a very nice coat.,Das ist ein sehr hübscher Mantel.
That's absolutely right.,Das ist absolut richtig.
That's all that matters.,"Das ist alles, was zählt."
That's beside the point.,Darum geht's nicht.
That's common knowledge.,Das weiß man.
That's easily explained.,Das ist einfach zu erklären.
That's enough for today.,Das ist genug für heute.
That's how it all began.,So fing alles an.
That's how it should be.,So sollte es sein.
That's how we first met.,So haben wir uns kennengelernt.
That's just how life is.,So ist das Leben nun einmal.
That's just speculation.,Das ist reine Spekulation.
"That's kind of you, Tom.","Das ist nett von dir, Tom."
That's my favorite band.,Das ist meine Lieblingsband.
That's not a dictionary.,Das ist kein Wörterbuch.
That's not an easy feat.,Das ist kein Kinderspiel.
That's not how I see it.,So sehe ich das nicht.
That's not how we think.,So denken wir nicht.
That's not my objective.,Das ist nicht mein Ziel.
That's not saying a lot.,Das sagt nicht viel.
That's not the solution.,Das ist nicht die Lösung.
That's not what I heard.,Ich habe da etwas anderes gehört.
That's not what I think.,"Das ist nicht, was ich denke."
That's not what we said.,Das haben wir nicht gesagt.
That's not why I'm here.,Deshalb bin ich nicht hier.
That's perfectly normal.,Das ist vollkommen normal.
That's really dangerous.,Das ist wirklich gefährlich.
That's really not funny.,Das ist wirklich nicht lustig.
That's the way it works.,So funktioniert das.
That's to our advantage.,Das ist zu unserem Vorteil.
That's very significant.,Das ist von großer Bedeutung.
That's what I told them.,"Das ist, was ich ihnen sagte."
"That's what I want, too.",Das will ich auch.
That's what you told me.,"Das ist es, was ihr mir gesagt habt."
That's where Tom worked.,Dort arbeitete Tom.
That's yesterday's news.,Das ist Schnee von gestern.
The Indians were hungry.,Die Indianer hatten Hunger.
The TV was on all night.,Der Fernseher lief die ganze Nacht.
The ambassador returned.,Der Botschafter ist zurückgekehrt.
The author is Brazilian.,Der Autor ist Brasilianer.
The baby is fast asleep.,Das Baby schläft tief und fest.
The baby started to cry.,Das Baby begann zu weinen.
The bedroom is upstairs.,Das Schlafzimmer ist oben.
The books here are mine.,Die Bücher hier sind meine.
The box is made of wood.,Die Kiste ist aus Holz.
The boy I helped is Tom.,"Der Junge, dem ich geholfen habe, ist Tom."
The boy kissed the girl.,Der Junge küsste das Mädchen.
The boys laughed at Tom.,Die Jungen lachten Tom aus.
The bus arrived on time.,Der Bus kam pünktlich an.
The button has come off.,Der Knopf ist abgegangen.
The car ran into a tree.,Das Auto fuhr gegen einen Baum.
The cat caught the rats.,Die Katze fing die Ratten.
The cat is on the table.,Die Katze sitzt auf dem Tisch.
The cat wants to go out.,Die Katze will raus.
The children are asleep.,Die Kinder schlafen.
The class starts at ten.,Der Kurs fängt um zehn an.
The climate is changing.,Das Klima ändert sich.
The cold weather's here.,Die Kälte ist da.
The computer broke down.,The Computer ist kaputtgegangen.
The crowd is going nuts.,Die Menge dreht durch.
The curtain caught fire.,Die Gardine fing Feuer.
The curtain caught fire.,Der Vorhang fing Feuer.
The desk drawer is open.,Die Schublade des Schreibtischs ist offen.
The doctor examined Tom.,Der Arzt untersuchte Tom.
The dog is in the attic.,Der Hund ist auf dem Dachboden.
The dog ran after a fox.,Der Hund verfolgte den Fuchs.
The dog wagged its tail.,Der Hund wedelte mit dem Schwanz.
The door would not open.,Die Tür ließ sich nicht öffnen.
The dust rose in clouds.,Es bildeten sich Staubwolken.
The escalator is broken.,Die Rolltreppe ist kaputt.
The farmer sowed barley.,Der Landwirt hat Gerste gesät.
The fish was very fresh.,Der Fisch war ganz frisch.
The flowers are wilting.,Die Blumen sind am Verwelken.
The front door was open.,Die Haustür stand offen.
The furniture was dusty.,Die Möbel waren staubig.
The game isn't over yet.,Das Spiel ist noch nicht zu Ende.
The girls talked loudly.,Die Mädchen unterhielten sich lautstark.
The grass needs cutting.,Das Gras muss mal geschnitten werden.
The heat was unbearable.,Die Hitze war unerträglich.
The highway was blocked.,Die Autobahn war blockiert.
The hotel was evacuated.,Das Hotel wurde evakuiert.
The house was in flames.,Das Haus stand in Flammen.
The jacket is big on me.,Das Jackett ist mir zu groß.
The judge questioned me.,Der Richter hat mich befragt.
The keys were in my bag.,Die Schlüssel waren in meiner Tasche.
The kitchen faces south.,Die Küche ist nach Süden gerichtet.
The lake is frozen over.,Der See ist zugefroren.
The maid served the tea.,Das Dienstmädchen servierte den Tee.
The meaning is the same.,Der Sinn ist derselbe.
The moon is already out.,Der Mond ist schon aufgegangen.
The news quickly spread.,Die Nachricht verbreitete sich schnell.
The nurse drew my blood.,Die Krankenschwester nahm mir Blut ab.
The old man lives alone.,Der alte Mann lebt alleine.
The order came too late.,Der Befehl erging zu spät.
The pain was unbearable.,Der Schmerz war nicht auszuhalten.
The pizza was expensive.,Die Pizza war teuer.
The plane is overbooked.,Das Flugzeug ist überbucht.
The police are after me.,Die Polizei ist hinter mir her.
The pot is boiling over.,Der Topf kocht über.
The price'll go up soon.,Der Preis steigt bald.
The radio is a bit loud.,Das Radio ist ein bisschen laut.
The restaurant is empty.,Das Restaurant ist leer.
The road was very bumpy.,Die Straße war sehr holperig.
The rumor can't be true.,Das Gerücht kann nicht stimmen.
The serpent tempted Eve.,Die Schlange versuchte Eva.
The skeptics were right.,Die Skeptiker hatten recht.
The sky will clear soon.,Der Himmel wird bald aufklaren.
The smell was offensive.,Der Geruch war widerlich.
The soldiers were brave.,Die Soldaten waren tapfer.
The storm raged outside.,Draußen tobte der Sturm.
The sun is about to set.,Die Sonne geht bald unter.
The sun rises every day.,Die Sonne geht jeden Tag auf.
The teacher is Canadian.,Der Lehrer ist Kanadier.
The three were arrested.,Die drei wurden verhaftet.
The town fell into ruin.,Die Stadt zerfiel.
The toy store is closed.,Der Spielwarenladen ist geschlossen.
The tree grew very tall.,Der Baum wuchs sehr hoch.
The two men shook hands.,Die beiden Männer gaben sich die Hand.
The walls are very thin.,Die Wände sind sehr dünn.
The water turned to ice.,Das Wasser gefror.
The weather's bad today.,Heute ist schlechtes Wetter.
The window doesn't open.,Das Fenster öffnet sich nicht.
The world is very small.,Die Welt ist sehr klein.
The yogurt is delicious.,Der Jogurt ist köstlich.
Their muscles are stiff.,Ihre Muskeln sind hart.
There are several exits.,Es gibt mehrere Ausgänge.
There is a fork missing.,Eine Gabel fehlt.
There is a page missing.,Eine Seite fehlt.
There is only one truth.,Es gibt nur eine Wahrheit.
There was a lot I liked.,Mir hat vieles gefallen.
There were many wounded.,Es gab viele Verletzte.
There were no survivors.,Es gibt keine Überlebenden.
There's a bus stop here.,Hier gibt es eine Bushaltestelle.
There's a reason for it.,Es gibt dafür einen Grund.
There's been a burglary.,Es hat einen Einbruch gegeben.
There's ice on the road.,Es gibt Glatteis auf der Straße.
There's no need to rush.,Kein Grund zur Eile.
There's no one like you.,"Es gibt niemanden, der so ist wie du."
There's no other choice.,Es gibt keine andere Möglichkeit.
There's no stopping Tom.,Tom kann nicht gebremst werden.
There's no turning back.,Es gibt kein Zurück mehr.
There's not much to see.,Es ist nicht viel zu sehen.
There's nowhere to park.,Man kann nirgendwo parken.
There's some water left.,Es ist noch etwas Wasser da.
These apples are rotten.,Diese Äpfel sind faul.
These are irreplaceable.,Die sind unersetzlich.
These are the originals.,Hier sind die Originale.
These dirty socks stink.,Diese schmutzigen Socken stinken.
These keys are not mine.,Das sind nicht meine Schlüssel.
These shoes aren't warm.,Diese Schuhe sind nicht warm.
These ties are for sale.,Diese Schlipse sind zu verkaufen.
They accepted the offer.,Sie nahmen das Angebot an.
They admired each other.,Sie bewunderten einander.
They always skip school.,Sie schwänzen immer die Schule.
They are both unmarried.,Die sind beide unverheiratet.
They are going shopping.,Sie gehen einkaufen.
They are my old friends.,Sie sind meine alten Freunde.
They are sensible girls.,Sie sind vernünftige Mädchen.
They arrived before you.,Sie sind vor dir angekommen.
They ate and they drank.,Sie aßen und sie tranken.
They attacked the enemy.,Sie griffen den Feind an.
They both got here late.,Sie kamen beide zu spät hier an.
They didn't do anything.,Sie haben nichts gemacht.
They don't know my name.,Sie wissen meinen Namen nicht.
They don't speak French.,Sie sprechen kein Französisch.
They entered the jungle.,Sie gingen in den Urwald hinein.
They freed the prisoner.,Sie befreiten den Gefangenen.
They got into the train.,Sie sind in den Zug eingestiegen.
They had nothing to eat.,Sie hatten nichts zu essen.
They have already begun.,Sie haben schon angefangen.
They have many students.,Sie haben viele Studenten.
They know what happened.,"Sie wissen, was passiert ist."
They may leave tomorrow.,Sie könnten morgen abreisen.
